symbol,company,current_price_available,current_price,current_price_source,price_history_available,price_history_rows,latest_price_history,price_history_age_days,price_history_providers,analyst_target_available,analyst_target_sources,fundamental_target_available,fundamental_target_rows,companyfacts_available,companyfacts_rows,latest_companyfacts,sec_cik_mapping_available,sec_cik,official_ir_coverage_available,official_ir_url,public_source_evidence_available,public_source_evidence_rows,latest_public_source_evidence,public_source_evidence_sources,unresolved_provider_gaps_available,unresolved_provider_gap_count,unresolved_provider_gap_summary
NVDA,NVIDIA,yes,212.6000,FMP,yes,331,2026-05-27,4,"Yahoo Finance,Unit",yes,Financial Modeling Prep,yes,96,yes,10,2026-05-27 15:08:51,yes,0001045810,yes,https://investor.nvidia.com/news/default.aspx,yes,55,2026-05-29 19:02:54,"Finnhub earnings calendar,Finnhub recommendation trends,SEC EDGAR submissions API,SEC EDGAR companyfacts API,Finnhub company news,Alpha Vantage news sentiment,Company investor relations",yes,12,Company investor relations official_ir_page=error; FMP earnings_transcripts=error; FMP stock_news=error; Finnhub company_news=error; +8 more
META,Meta Platforms,yes,635.2550,FMP,yes,251,2026-05-27,4,Yahoo Finance,yes,Financial Modeling Prep,yes,96,yes,10,2026-05-27 15:08:53,yes,0001326801,yes,https://investor.atmeta.com/investor-news/default.aspx,yes,34,2026-05-28 09:25:51,"Finnhub recommendation trends,Finnhub earnings calendar,SEC EDGAR submissions API,SEC EDGAR companyfacts API,Finnhub company news",yes,12,Company investor relations official_ir_page=error; Alpha Vantage news_sentiment=error; FMP earnings_transcripts=error; FMP stock_news=error; +8 more
MSFT,Microsoft,yes,412.6700,FMP,yes,251,2026-05-27,4,Yahoo Finance,yes,Financial Modeling Prep,yes,96,yes,10,2026-05-27 15:08:54,yes,0000789019,yes,https://www.microsoft.com/en-us/Investor,yes,58,2026-05-29 19:02:53,"Finnhub recommendation trends,Finnhub earnings calendar,SEC EDGAR submissions API,SEC EDGAR companyfacts API,Finnhub company news,Alpha Vantage news sentiment,Company investor relations",yes,11,Company investor relations official_ir_page=error; FMP earnings_transcripts=error; FMP stock_news=error; Finnhub company_news=error; +7 more
SNOW,Snowflake,yes,175.2600,Alpha Vantage,yes,251,2026-05-27,4,Yahoo Finance,no,,yes,96,yes,9,2026-05-27 15:08:55,yes,0001640147,yes,https://investors.snowflake.com/news/default.aspx,yes,41,2026-05-28 11:04:11,"Finnhub recommendation trends,Finnhub earnings calendar,SEC EDGAR submissions API,SEC EDGAR companyfacts API,Finnhub company news,Company investor relations",yes,12,Company investor relations official_ir_page=error; FMP earnings_transcripts=error; FMP stock_news=error; Finnhub company_news=error; +8 more
AMZN,Amazon,yes,271.8500,FMP,yes,251,2026-05-27,4,Yahoo Finance,yes,Financial Modeling Prep,yes,96,yes,8,2026-05-27 15:08:56,yes,0001018724,yes,https://ir.aboutamazon.com/overview/default.aspx,yes,47,2026-05-29 19:02:55,"Finnhub recommendation trends,Finnhub earnings calendar,Finnhub company news,SEC EDGAR submissions API,SEC EDGAR companyfacts API,Alpha Vantage news sentiment,Company investor relations",yes,11,Company investor relations official_ir_page=error; FMP earnings_transcripts=error; FMP stock_news=error; Finnhub company_news=error; +7 more
MDB,MongoDB,yes,294.4600,Alpha Vantage,yes,251,2026-05-27,4,Yahoo Finance,no,,yes,96,yes,10,2026-05-27 15:08:58,yes,0001441816,yes,https://investors.mongodb.com/news-releases,yes,27,2026-05-28 09:25:56,"Finnhub company news,Finnhub recommendation trends,SEC EDGAR submissions API,SEC EDGAR companyfacts API,Finnhub earnings calendar",yes,12,Company investor relations official_ir_page=error; Alpha Vantage news_sentiment=error; FMP earnings_transcripts=error; FMP stock_news=error; +8 more
TSM,Taiwan Semiconductor,yes,422.7750,FMP,yes,251,2026-05-27,4,Yahoo Finance,yes,Financial Modeling Prep,yes,96,no,0,,yes,0001046179,yes,https://investor.tsmc.com/english,yes,27,2026-05-28 09:26:46,"Finnhub recommendation trends,Finnhub company news,SEC EDGAR submissions API,Alpha Vantage news sentiment",yes,11,Company investor relations official_ir_page=error; FMP earnings_transcripts=error; FMP stock_news=error; Finnhub company_news=error; +7 more
AVGO,Broadcom,yes,421.8600,Alpha Vantage,yes,251,2026-05-27,4,Yahoo Finance,no,,yes,96,yes,10,2026-05-27 15:09:00,yes,0001730168,yes,https://investors.broadcom.com/,yes,33,2026-05-28 09:26:00,"Finnhub company news,Finnhub recommendation trends,SEC EDGAR submissions API,SEC EDGAR companyfacts API",yes,12,Company investor relations official_ir_page=error; Alpha Vantage news_sentiment=error; FMP earnings_transcripts=error; FMP stock_news=error; +8 more
GOOGL,Alphabet,yes,388.8300,FMP,yes,251,2026-05-27,4,Yahoo Finance,yes,Financial Modeling Prep,yes,96,yes,10,2026-05-27 15:09:01,yes,0001652044,yes,https://abc.xyz/investor/,yes,44,2026-05-28 11:01:42,"Finnhub company news,Finnhub recommendation trends,Finnhub earnings calendar,SEC EDGAR submissions API,SEC EDGAR companyfacts API,Alpha Vantage news sentiment,Company investor relations",yes,11,Company investor relations official_ir_page=error; FMP earnings_transcripts=error; FMP stock_news=error; Finnhub company_news=error; +7 more
NET,Cloudflare,yes,217.5400,Alpha Vantage,yes,251,2026-05-27,4,Yahoo Finance,no,,yes,96,yes,9,2026-05-27 15:09:03,yes,0001477333,yes,https://cloudflare.net/news/default.aspx,yes,30,2026-05-28 09:26:48,"Finnhub company news,Finnhub recommendation trends,Finnhub earnings calendar,SEC EDGAR submissions API,SEC EDGAR companyfacts API,Alpha Vantage news sentiment",yes,11,Company investor relations official_ir_page=error; FMP earnings_transcripts=error; FMP stock_news=error; Finnhub company_news=error; +7 more
